,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
237,2010-12-14,13759498,5944819138,431.0,436.5,427.0,431.0,3.0,9838
238,2010-12-15,7887662,3367597139,433.0,434.5,423.0,427.0,-4.0,6058
239,2010-12-16,5983928,2533637044,428.0,428.0,421.0,421.5,-5.5,4559
240,2010-12-17,11474660,4937299960,426.0,436.0,424.5,432.0,10.5,8632
241,2010-12-20,6307558,2721629186,437.0,437.0,428.0,430.0,-2.0,4703
242,2010-12-21,4562232,1976536920,435.0,435.0,430.5,434.0,4.0,3546
243,2010-12-22,8916811,3835665230,434.0,436.0,428.0,428.5,-5.5,6337
244,2010-12-23,5122043,2201503519,430.0,433.0,426.0,431.5,3.0,4137
245,2010-12-24,6707022,2865637830,433.5,435.0,423.5,423.5,-8.0,5288
246,2010-12-27,8432357,3510259660,423.0,424.0,412.0,413.0,-10.5,6637
247,2010-12-28,6103756,2532716996,413.5,418.5,411.0,414.0,1.0,4390
248,2010-12-29,6311061,2604619571,415.0,417.5,410.0,410.0,-4.0,4645
249,2010-12-30,5667902,2319510320,412.0,414.0,407.0,407.5,-2.5,4362
250,2010-12-31,6674112,2775192337,410.0,421.5,409.0,417.5,10.0,5291
251,2011-01-03,4763737,1986414266,421.5,422.5,414.0,415.0,-2.5,3724
252,2011-01-04,6886501,2897279920,421.0,423.5,418.0,418.0,3.0,5211
253,2011-01-05,9170212,3864159220,421.5,424.0,418.0,420.0,2.0,6000
254,2011-01-06,7965075,3279385050,421.0,421.5,407.5,411.0,-9.0,6368
255,2011-01-07,21251588,8397624404,409.0,409.0,385.0,390.0,-21.0,16348
256,2011-01-10,6862508,2628486104,385.0,385.5,378.0,385.0,-5.0,5420
257,2011-01-11,8616229,3415311329,390.0,401.0,389.0,398.0,13.0,6619
258,2011-01-12,12242917,5051021555,408.0,416.0,406.0,415.0,17.0,9528
259,2011-01-13,8590357,3502446804,415.0,417.5,410.5,411.0,-4.0,4537
260,2011-01-14,5575463,2266820608,411.0,411.5,403.5,405.5,-5.5,4250
261,2011-01-17,6784328,2714280372,405.0,405.0,397.5,397.5,-8.0,4811
262,2011-01-18,4193530,1682541248,395.5,405.0,395.0,400.0,2.5,3210
263,2011-01-19,4738420,1902990840,404.5,406.0,398.5,401.5,1.5,3583
264,2011-01-20,4241894,1663885507,398.0,403.5,397.5,398.0,-3.5,2349
265,2011-01-21,3646636,1437184628,391.0,397.0,390.0,395.5,-2.5,2848
266,2011-01-24,3269444,1298368880,396.0,402.5,394.0,394.0,-1.5,2882
267,2011-01-25,3533332,1409583116,400.0,402.0,396.0,396.0,2.0,2947
268,2011-01-26,2967705,1188127910,400.0,402.5,398.0,401.0,5.0,2467
269,2011-01-27,7579845,3092550070,403.0,411.5,402.0,406.0,5.0,6132
270,2011-01-28,9906495,3943187510,404.0,404.0,396.0,396.0,-10.0,7296
271,2011-02-08,20472008,7574309300,380.0,380.0,368.5,368.5,-27.5,12948
272,2011-02-09,23429029,8275571150,361.0,361.5,345.0,345.5,-23.0,17795
273,2011-02-10,11970572,4225276060,346.0,357.0,346.0,353.5,8.0,8744
274,2011-02-11,10996241,3813695368,354.0,354.0,340.0,345.0,-8.5,7830
275,2011-02-14,6009818,2101482300,350.0,352.5,348.0,348.0,3.0,4446
276,2011-02-15,6713183,2366519282,350.0,356.5,346.5,351.5,3.5,5153
277,2011-02-16,5014075,1750055250,351.5,353.5,347.5,348.0,-3.5,3896
278,2011-02-17,7585090,2598267087,350.0,351.0,339.0,339.0,-9.0,5961
279,2011-02-18,4558826,1563151023,342.0,345.0,341.0,343.0,4.0,3504
280,2011-02-21,4951241,1685950201,344.0,345.0,339.0,339.0,-4.0,3687
281,2011-02-22,8587677,2835034591,333.0,334.5,325.5,331.5,-7.5,6356
282,2011-02-23,8757988,2950365941,331.5,342.0,331.5,334.0,2.5,6249
283,2011-02-24,4863722,1639614092,336.0,341.5,334.0,334.0,0.0,4077
284,2011-02-25,9076219,3030640161,337.0,339.5,328.0,334.0,0.0,6693
285,2011-03-01,8182526,2729019080,334.0,339.0,328.0,328.0,-6.0,6382
286,2011-03-02,14089934,4843385598,332.0,350.0,332.0,345.5,17.5,10757
287,2011-03-03,8847282,3012400226,344.0,344.0,337.0,340.5,-5.0,6705
288,2011-03-04,5695007,1929653175,344.0,344.0,335.0,335.5,-5.0,4398
289,2011-03-07,5204845,1723916764,331.0,334.0,328.5,332.0,-3.5,4417
290,2011-03-08,6350269,2160499767,332.0,344.0,332.0,341.0,9.0,4916
291,2011-03-09,6965150,2410872250,348.0,349.5,343.0,343.0,2.0,5171
292,2011-03-10,6240163,2150924050,344.5,348.0,341.0,348.0,5.0,4469
293,2011-03-11,4798519,1654524574,346.0,347.0,342.0,345.0,-3.0,3874
294,2011-03-14,5221883,1758879454,341.0,341.0,332.0,336.0,-9.0,4231
295,2011-03-15,11608725,3753119450,336.0,341.0,312.5,318.5,-17.5,9049
296,2011-03-16,6133762,1996623960,326.0,328.5,321.0,328.5,10.0,4715
297,2011-03-17,14071544,4810310180,329.0,350.0,325.0,344.0,15.5,10208
298,2011-03-18,8367601,2892297047,350.0,350.0,341.0,346.5,2.5,5872
299,2011-03-21,3705800,1272723400,346.5,346.5,341.0,341.0,-5.5,2927
300,2011-03-22,7561978,2649393310,344.0,355.0,344.0,348.0,7.0,5747
301,2011-03-23,5241906,1831354600,350.0,352.0,347.0,348.0,0.0,3900
302,2011-03-24,5420201,1871158718,350.0,351.5,342.5,342.5,-5.5,4119
303,2011-03-25,4089091,1410779395,346.0,348.0,343.0,343.0,0.5,2967
304,2011-03-28,2500385,855167956,341.0,345.0,340.5,340.5,-2.5,1902
305,2011-03-29,4677803,1606335009,340.5,347.0,340.5,341.0,0.5,3454
306,2011-03-30,5381913,1815221681,341.0,342.5,335.5,335.5,-5.5,4372
307,2011-03-31,5210916,1748669024,335.5,338.0,332.0,338.0,2.5,3408
308,2011-04-01,3894112,1324267183,339.5,343.0,337.0,343.0,5.0,2879
309,2011-04-06,14311254,5007181986,347.0,353.0,345.0,349.5,6.5,8685
310,2011-04-07,5767489,2015901639,352.0,352.0,346.5,351.0,1.5,3810
311,2011-04-08,4441683,1555026550,351.0,352.0,347.5,350.0,-1.0,3427
312,2011-04-11,4397143,1542024570,350.0,354.0,346.0,354.0,4.0,2833
313,2011-04-12,3197292,1113285908,351.0,352.0,346.0,346.0,-8.0,2422
314,2011-04-13,2930890,1011552110,345.0,348.0,341.5,347.5,1.5,2109
315,2011-04-14,6988106,2377995540,346.0,346.0,337.0,339.0,-8.5,5124
316,2011-04-15,4237630,1434655940,337.0,342.5,336.0,336.0,-3.0,3516
317,2011-04-18,9230467,3018668057,336.0,337.5,319.5,320.0,-16.0,7398
318,2011-04-19,10936966,3393539392,315.0,316.0,308.0,309.0,-11.0,8338
319,2011-04-20,9090639,2799668090,310.0,312.0,303.5,308.0,-1.0,6333
320,2011-04-21,5403298,1697617370,314.0,316.5,311.0,314.5,6.5,4216
321,2011-04-22,3519862,1101128838,313.0,316.0,311.0,311.0,-3.5,2899
322,2011-04-25,3051037,944603859,312.0,314.0,305.5,305.5,-5.5,2698
323,2011-04-26,5487891,1697301165,303.5,313.5,301.0,313.0,7.5,4160
324,2011-04-27,11086842,3592165124,318.0,329.0,318.0,320.5,7.5,7990
325,2011-04-28,6096541,1936412915,321.0,323.5,314.0,314.5,-6.0,4508
326,2011-04-29,5942030,1879101110,314.0,321.0,311.0,316.5,2.0,4293
327,2011-05-03,16696637,5524776438,322.5,338.5,321.0,337.5,21.0,11731
328,2011-05-04,11975204,4123452676,343.0,347.0,340.0,344.0,6.5,8189
329,2011-05-05,12781382,4425207700,347.0,348.5,340.5,347.5,3.5,6462
330,2011-05-06,7285408,2511360484,347.5,347.5,341.5,347.5,0.0,5259
331,2011-05-09,16802416,6009593760,348.5,362.5,348.0,360.0,12.5,12050
332,2011-05-10,6611992,2344085626,358.0,358.0,352.5,352.5,-7.5,5325
333,2011-05-11,6421282,2269886200,354.0,358.5,350.0,350.0,-2.5,4655
334,2011-05-12,5291815,1858372127,348.0,354.0,347.5,352.5,2.5,3492
335,2011-05-13,8615163,3060491039,352.0,362.0,349.0,352.5,0.0,6516
336,2011-05-16,5443483,1907544823,355.0,357.0,345.5,345.5,-7.0,4203
337,2011-05-17,11973668,4047471688,342.0,344.5,334.5,334.5,-11.0,8620
338,2011-05-18,4107464,1389159152,336.0,340.0,336.0,340.0,5.5,3197
339,2011-05-19,6643530,2226215930,340.0,342.0,328.5,330.0,-10.0,5273
340,2011-05-20,8679388,2804656160,329.0,330.0,318.0,318.0,-12.0,6484
341,2011-05-23,9455408,2944280796,312.5,314.5,310.0,310.0,-8.0,6964
342,2011-05-24,7611896,2414032136,314.0,323.0,314.0,314.0,4.0,5730
343,2011-05-25,5023833,1571616896,313.0,317.5,310.0,310.0,-4.0,3930
344,2011-05-26,7357242,2275979020,314.0,314.5,305.5,307.5,-2.5,5556
345,2011-05-27,8553020,2651744720,307.5,313.5,307.5,309.5,2.0,5752
346,2011-05-30,6179084,1950694796,314.5,319.0,312.0,317.0,7.5,4654
347,2011-05-31,7353069,2355225149,320.0,322.0,318.0,320.0,3.0,4675
348,2011-06-01,8691440,2845738200,322.0,331.0,322.0,330.0,10.0,6464
349,2011-06-02,7109054,2304822339,327.0,329.0,320.0,320.5,-9.5,5100
350,2011-06-03,3499873,1125882156,322.5,324.0,319.0,319.5,-1.0,2842
351,2011-06-07,7198082,2249720343,315.5,319.0,310.0,313.5,-6.0,5638
352,2011-06-08,6745432,2128846944,314.5,318.0,312.0,316.0,2.5,4424
353,2011-06-09,4886318,1529974352,314.0,316.5,310.0,312.5,-3.5,3578
354,2011-06-10,10260830,3157927470,313.0,313.0,306.0,306.0,-6.5,7369
355,2011-06-13,7657540,2317118392,304.0,305.5,301.5,302.0,-4.0,5330
356,2011-06-14,5352416,1625285562,303.0,305.0,302.5,304.0,2.0,3564
357,2011-06-15,9006792,2764185352,306.0,311.0,303.5,304.0,0.0,5985
358,2011-06-16,8913376,2664185924,301.0,301.0,297.5,297.5,-6.5,6572
359,2011-06-17,6790866,2038421032,300.0,302.0,298.0,301.5,4.0,3923
360,2011-06-20,5286759,1580496164,305.0,305.0,295.0,295.0,-6.5,4034
361,2011-06-21,13515384,4160597308,301.5,312.0,300.0,312.0,17.0,9033
362,2011-06-22,12901511,4112656031,319.0,322.0,315.0,321.0,9.0,9217
363,2011-06-23,8125340,2585123120,320.0,320.5,315.5,318.0,-3.0,4720
364,2011-06-24,9257363,2900304552,319.0,319.0,311.0,311.0,-7.0,6175
365,2011-06-27,6469115,1992135921,305.0,311.5,304.0,311.0,0.0,4257
366,2011-06-28,4341927,1350243322,312.0,314.0,309.0,309.0,-2.0,3022
367,2011-06-29,8472650,2676924454,312.0,318.0,311.5,317.0,8.0,4902
368,2011-06-30,6602479,2080084727,317.5,319.0,311.0,312.0,-5.0,4372
369,2011-07-01,5091998,1601888370,315.0,316.5,313.0,313.5,1.5,3738
370,2011-07-04,6839407,2129697705,315.0,316.0,307.0,314.0,0.5,4559
371,2011-07-05,4457260,1384584905,311.0,313.5,309.0,309.0,-5.0,2926
372,2011-07-06,6476011,2002974881,309.0,311.5,308.5,309.0,0.0,3723
373,2011-07-07,13462506,4119568836,310.0,310.5,304.5,304.5,-4.5,7650
374,2011-07-08,15336311,4460531303,291.0,294.5,287.5,288.5,0.0,9627
375,2011-07-11,10117773,2816471461,288.5,288.5,275.0,275.0,-13.5,7668
376,2011-07-12,17073447,4559155432,267.0,268.5,261.0,262.0,-13.0,9650
377,2011-07-13,24438544,6187027000,263.0,266.0,244.0,247.0,-15.0,16058
378,2011-07-14,16599792,4262010296,258.0,259.0,253.5,258.0,11.0,10126
379,2011-07-15,12022592,3168820472,261.5,268.5,256.0,263.0,5.0,8126
